22:46:47 | LOCK_ACQUIRED | sim=0.77
22:46:47 | MOVE_LEFT | nose_x=0.33
22:46:49 | MOVE_LEFT | nose_x=0.34
22:46:50 | MOVE_LEFT | nose_x=0.38
22:46:51 | BLINK | EAR=0.15
22:46:51 | MOVE_LEFT | nose_x=0.35
22:46:52 | MOVE_LEFT | nose_x=0.30
22:46:53 | MOVE_LEFT | nose_x=0.35
22:46:54 | MOVE_LEFT | nose_x=0.35
22:46:55 | MOVE_LEFT | nose_x=0.35
22:46:56 | MOVE_LEFT | nose_x=0.35
22:46:58 | MOVE_LEFT | nose_x=0.35
22:46:58 | SMILE | ratio=0.46
22:46:58 | MOVE_LEFT | nose_x=0.34
22:46:58 | SMILE | ratio=0.49
22:46:58 | MOVE_LEFT | nose_x=0.34
22:46:58 | SMILE | ratio=0.49
22:46:58 | MOVE_LEFT | nose_x=0.34
22:46:58 | SMILE | ratio=0.49
22:46:58 | MOVE_LEFT | nose_x=0.34
22:46:59 | SMILE | ratio=0.48
22:46:59 | MOVE_LEFT | nose_x=0.34
22:46:59 | SMILE | ratio=0.48
22:46:59 | MOVE_LEFT | nose_x=0.34
22:46:59 | SMILE | ratio=0.48
22:46:59 | MOVE_LEFT | nose_x=0.35
22:46:59 | SMILE | ratio=0.48
22:46:59 | MOVE_LEFT | nose_x=0.34
22:46:59 | SMILE | ratio=0.48
22:46:59 | MOVE_LEFT | nose_x=0.35
22:47:00 | SMILE | ratio=0.47
22:47:00 | MOVE_LEFT | nose_x=0.34
22:47:00 | SMILE | ratio=0.46
22:47:00 | MOVE_LEFT | nose_x=0.35
22:47:00 | SMILE | ratio=0.46
22:47:00 | MOVE_LEFT | nose_x=0.34
22:47:00 | SMILE | ratio=0.46
22:47:00 | MOVE_LEFT | nose_x=0.35
22:47:00 | SMILE | ratio=0.45
22:47:00 | MOVE_LEFT | nose_x=0.34
22:47:01 | SMILE | ratio=0.45
22:47:01 | MOVE_LEFT | nose_x=0.34
22:47:01 | SMILE | ratio=0.45
22:47:01 | MOVE_LEFT | nose_x=0.36
22:47:01 | SMILE | ratio=0.46
22:47:01 | MOVE_LEFT | nose_x=0.35
22:47:01 | SMILE | ratio=0.45
22:47:01 | MOVE_LEFT | nose_x=0.35
22:47:01 | SMILE | ratio=0.45
22:47:01 | MOVE_LEFT | nose_x=0.35
22:47:02 | SMILE | ratio=0.45
22:47:02 | MOVE_LEFT | nose_x=0.35
22:47:03 | MOVE_LEFT | nose_x=0.34
22:47:04 | MOVE_LEFT | nose_x=0.34
22:47:05 | MOVE_LEFT | nose_x=0.34
22:47:06 | MOVE_LEFT | nose_x=0.36
22:47:07 | MOVE_LEFT | nose_x=0.36
22:47:09 | MOVE_LEFT | nose_x=0.36
22:47:10 | MOVE_LEFT | nose_x=0.35
22:47:11 | MOVE_LEFT | nose_x=0.35
22:47:12 | MOVE_LEFT | nose_x=0.35
22:47:13 | MOVE_LEFT | nose_x=0.35
22:47:14 | MOVE_LEFT | nose_x=0.35
22:47:15 | MOVE_LEFT | nose_x=0.35
22:47:17 | MOVE_LEFT | nose_x=0.35
22:47:18 | MOVE_LEFT | nose_x=0.35
22:47:19 | MOVE_LEFT | nose_x=0.35
22:47:20 | MOVE_LEFT | nose_x=0.35
22:47:21 | MOVE_LEFT | nose_x=0.36
22:47:22 | MOVE_LEFT | nose_x=0.36
